Simulation state at cycle:    1100000
##############################################################################                                           

Number-of-molecules: 401   

Box-size(s):    28.098477   50.634002

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.7447233577E+000
Box 2    0.2528448359E+002

Rotation per molecule type
Box 1    0.1433645669E+003
Box 2    0.1800000000E+003

Volume    Delta_Volume
Box 1   0.4858406610E+003
Box 2   0.2249262319E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 350   
Atomtype         X                  Y                   Z
  2       25.0992771991       21.4425609608        9.9366101125
  1       25.5039286408       21.0737985801        9.8839649194
  1       15.0205565261       10.3176175985       10.8004318013
  2       14.7166804469       10.2184532255       10.3528541481
  1       14.4246590613       10.0754028544        9.9092776602
  1       17.4680993165       11.6010742299        7.5921744546
  2       18.0008587182       11.6709014075        7.7096120346
  1       18.5288402515       11.7377183762        7.8484320338
  1       24.8473769767        9.3224330690       14.1554407661
  2       24.7514391254        8.9192349027       14.5170028870
  1       24.6379649160        8.5275784577       14.8860947887
  1        3.0024739889       23.2575569713       21.1317407197
  2        2.4599728595       23.2508849962       21.0414743949
  1        1.9182469727       23.2283118821       20.9491514989
  1        3.5976905924       17.7867820105       24.9257182305
  2        3.3778659440       18.1605545919       24.5873823302
  1        3.1800289961       18.5525282439       24.2561464669
  1       13.0899503780       21.4797254530       19.0175044177
  2       12.9695886426       21.8692540943       19.3866662931
  1       12.8650941763       22.2584842240       19.7609400053
  1       10.4918371042       26.5989482507       24.6539337281
  2       10.1364495290       26.3890216516       24.2904361431
  1        9.8060771045       26.1381948042       23.9292714262
  1        7.4873310476       19.8795468779        9.1370015236
  2        7.6337642412       19.3896774609        9.3396965510
  1        7.8178674054       18.9013788984        9.5133932344
  1        1.5336251009       22.8838361825       11.4650828002
  2        1.0302357970       22.9305140005       11.2484716510
  1        0.5185212311       22.9558221604       11.0484524041
  1       14.6681281452        9.3414879134       16.9308085156
  2       14.5291926696        8.8172098719       16.8395425921
  1       14.3556971693        8.3075934657       16.7268907882
  1        3.4730289761        3.8224454572       27.5803006502
  2        3.8830639922        4.1619257119       27.7185918004
  1        4.3039888234        4.4934418959       27.8427662951
  1       23.6756165642       27.1983517072       25.7486374359
  2       23.7667112999       27.4035224756       25.2465351506
  1       23.8613474788       27.6091640974       24.7452812070
  1        8.3684262393       23.6326017762        8.5935763527
  2        7.8817586648       23.5673660049        8.8413645003
  1        7.4000511211       23.4721972115        9.0891562314
  1       24.4930296453       25.7550022165       16.2476401246
  2       24.0867845208       25.4491946492       16.4572746414
  1       23.6877306792       25.1317219498       16.6633501509
  1        8.1241290175        3.2209698690       13.0710085052
  2        8.5096457465        2.8287595591       13.0640857602
  1        8.8920871412        2.4335952550       13.0732373379
  1       26.0796159953       23.8032635339        4.2693921895
  2       26.0644000140       24.0482274695        3.7771918806
  1       26.0172920197       24.2978870409        3.2893897339
  1        4.9737934392       26.8148806919        6.3777053815
  2        5.2787536815       27.2720212602        6.4005472609
  1        5.5937613482       27.7227036840        6.3880764239
  1       13.1619268305       26.0706667260       12.3810565309
  2       13.4114091173       25.5808480555       12.3627191751
  1       13.6529195833       25.0873371452       12.3378258987
  1        2.0856046171        3.3808018060        9.0720816246
  2        1.9039640892        3.2041737814        9.5602509185
  1        1.7331718055        3.0350442656       10.0549479993
  1        1.3840133941       16.2400727589       27.2841126095
  2        0.9300011816       16.0141879956       27.4970656198
  1        0.4688450411       15.7963328448       27.7029154348
  1       14.6822450989       13.7981302654       10.1254596517
  2       14.5153256833       13.8960161744       10.6402957980
  1       14.3342192943       13.9906814834       11.1509218394
  1       16.1599260296        9.3146370595       19.9456829678
  2       15.8259189441        9.7513553470       19.9603936512
  1       15.4882834880       10.1855131678       19.9573466182
  1        3.9812640661        6.6396854313       14.0732054444
  2        4.2223370443        6.9521700774       14.4562683179
  1        4.4787052676        7.2516704828       14.8397716951
  1        4.8634047321       14.1107301711       12.2611066174
  2        5.0322761873       13.6495755773       12.0134801403
  1        5.2100527049       13.1886022473       11.7718210873
  1       10.7556249804       11.1113548240       11.3401187015
  2       10.2301504818       11.0753280917       11.1817563769
  1        9.7069768895       11.0275685766       11.0189423110
  1       27.2158678296       18.4122303345        1.5015798476
  2       26.8573871307       18.8061599419        1.6387332397
  1       26.4787389303       19.1853166357        1.7626918654
  1        5.0445435096        7.5359223503       21.1195683345
  2        5.3378764615        7.0999305355       21.2819472640
  1        5.6288968923        6.6586771231       21.4339424412
  1       25.8069302106       24.2598336568       13.0163489780
  2       25.2870320838       24.1029885150       13.1035587207
  1       24.7630950458       23.9566606794       13.1846644771
  1       11.6935642897        9.9790062999        3.6155805454
  2       11.2561607483        9.6477819890        3.6539028344
  1       10.8203379722        9.3133129333        3.6801508364
  1       24.6473302689        7.5561867946       24.1282940726
  2       24.5867073851        8.0489356487       23.8916013757
  1       24.5017298146        8.5474635025       23.6753866895
  1       20.0084135263       17.7228574663       20.5006773376
  2       20.1180106546       18.0423256388       20.0665937555
  1       20.2682278916       18.3414600868       19.6301841283
  1       15.2804053476        1.4932292669       26.9473859172
  2       15.3650705032        1.0108059747       26.6971868394
  1       15.4500779822        0.5199908160       26.4640040623
  1       22.3746011992        5.7570952143       22.8964524987
  2       22.3768354341        5.2407275901       22.7070864909
  1       22.3911581466        4.7214410246       22.5264312343
  1        6.4323242984        2.9908018253       19.5972794790
  2        5.9749836859        2.7148879131       19.4660884841
  1        5.5259405410        2.4216481271       19.3441430827
  1       27.4898837406        9.3291154743       26.1072028115
  2       27.4981009903        9.2308370216       25.5661170304
  1       27.5185466241        9.1648914424       25.0204677331
  1       19.9921805771        4.1644413182        1.9767344761
  2       19.8879515774        4.7039556233        2.0004121074
  1       19.7901439001        5.2451622917        2.0057972072
  1       12.8455642718        0.2894022373       19.2129561530
  2       12.9224683645        0.7716268237       19.4660277017
  1       12.9947690699        1.2550705881       19.7181283436
  1       13.9360571672       14.1149451050       24.6286485928
  2       14.0556519318       14.1458656915       25.1645972934
  1       14.1752644822       14.1450034814       25.7014325506
  1        9.8331228473       15.0255703344       13.6664275089
  2        9.6233465934       14.7368043211       13.2479682960
  1        9.4214872641       14.4489973947       12.8249789542
  1        3.9022401927       24.5373471523       17.3779993741
  2        4.3047408686       24.2769296513       17.6475841123
  1        4.7101072169       24.0226042250       17.9186868607
  1       23.3757256256        3.6594010463        2.9066598279
  2       23.4074311761        4.2037377210        2.8346019165
  1       23.3829455651        4.7458623261        2.7451515592
  1        8.0438987925       22.9579808318       18.1573796414
  2        8.1149277357       22.5945703651       18.5640585342
  1        8.2217260634       22.2545086862       18.9829286463
  1       20.2004860164       16.0317777956       10.1797475665
