Simulation state at cycle:     790000
##############################################################################                                           

Number-of-molecules: 401   

Box-size(s):    28.172503   50.611136

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.5809872717E+000
Box 2    0.2531141453E+002

Rotation per molecule type
Box 1    0.9725452334E+002
Box 2    0.1800000000E+003

Volume    Delta_Volume
Box 1   0.3835735908E+003
Box 2   0.1775803661E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 392   
Atomtype         X                  Y                   Z
  2        8.3589336466        5.6238571984        3.0670904047
  1        8.7512944058        5.3906460312        3.3739545198
  1        5.5203236110        6.7725281931       11.2674454813
  2        5.4479289606        6.5127047657       11.7467687554
  1        5.3528515495        6.2343103093       12.2114802913
  1       14.0476649154        8.2688138405       15.8196806274
  2       13.8404130933        8.7440261694       15.6360507694
  1       13.6430257749        9.2251737624       15.4570668616
  1        9.3811712800       27.5270707984        6.7804147009
  2        9.5094644096       27.0708254309        7.0594864435
  1        9.6415417888       26.6225354655        7.3494720841
  1       19.1631174399       14.6195229561        0.8876820452
  2       19.0867860748       14.5387152060        1.4263318668
  1       19.0003043105       14.4638113117        1.9643005555
  1       11.7749381027       25.7126602135        1.3464131285
  2       11.3762387930       25.4621555008        1.0621839088
  1       10.9877644977       25.2050956912        0.7697664415
  1        3.4695689595        0.4313874650        2.6830081872
  2        3.1916290980        0.1143176934        2.3298563878
  1        2.9167143209       -0.2090098993        1.9800262403
  1       11.7485577918       11.6772026268        6.3956115019
  2       11.7580972168       12.0215334044        5.9668396338
  1       11.7669877889       12.3656731802        5.5379005105
  1        6.4482004593        1.9954324912       12.3055509455
  2        6.3833948301        2.5394071711       12.2566451373
  1        6.3203128345        3.0808763559       12.1836260801
  1       14.9023235712        4.7500570086        7.7999204215
  2       14.3575415062        4.7289322199        7.7273515232
  1       13.8158593878        4.7127805863        7.6334387645
  1       26.3857672205       26.9524493476       21.7001888999
  2       26.5028339898       27.4864244013       21.6396412859
  1       26.6304271186       28.0165507206       21.5676268564
  1        5.0293828811       10.9980571961       17.9014697450
  2        4.9430392408       10.6570810587       18.3242936439
  1        4.8577839019       10.3220699850       18.7520775925
  1       12.9941375569        0.2502375448        7.6287015850
  2       13.0569900675        0.2456081590        8.1750788637
  1       13.1248623988        0.2579127609        8.7207362126
  1       27.1106106202       24.2906206262       23.7945042822
  2       26.9102818801       23.9003661052       23.4627365853
  1       26.6955982962       23.5112626953       23.1386849008
  1        2.3548985283       13.6209835122       27.2037276103
  2        2.7873005395       13.4768837168       26.8958903973
  1        3.2085492970       13.3158943486       26.5810381993
  1       10.8777476769        5.8086110790        9.0405403824
  2       11.0208281161        6.1535913825        8.6367872671
  1       11.1443369026        6.5199306643        8.2455825774
  1        9.6724393772       17.1334108573        2.6235682621
  2        9.2017964740       16.8504094122        2.6536587880
  1        8.7335061417       16.5635096192        2.6835364120
  1       16.0931526100       10.0577590312       23.2855554963
  2       16.5683313285       10.2016468302       23.0489091635
  1       17.0372358685       10.3494140301       22.8023460154
  1        5.3945533424       10.0503855333       22.2738425037
  2        5.7918020211        9.6841409179       22.3765964276
  1        6.1745860710        9.3038224403       22.4830587485
  1       15.8625532880       26.5925560867        1.2547576996
  2       15.6018913614       26.1170316547        1.3465829386
  1       15.3284208779       25.6484011316        1.4365791968
  1       20.6415876784       23.8699096597       13.9500103822
  2       20.6615346938       24.4174770443       13.9976766795
  1       20.6816633811       24.9646754656       14.0493363613
  1        8.4224359437       10.7341014498       26.7453253670
  2        8.3504332065       11.1479611077       27.1003405631
  1        8.2680418700       11.5795344398       27.4311821047
  1       19.1532589709       19.1468957542        6.9475668281
  2       19.4083131812       19.2245654606        7.4286227153
  1       19.6649912990       19.3072028053        7.9079841781
  1       20.0683325810       26.0381946799       17.3161948296
  2       19.9042242106       25.5143695793       17.3504834103
  1       19.7554215567       24.9863555906       17.3899675456
  1        0.7401940104       13.2663119846        4.8284530831
  2        0.4030193717       13.4748551942        5.2096656127
  1        0.0774646436       13.6899643717        5.5972764481
  1       16.9852197026       22.1450765113       20.3318180992
  2       16.4673588471       22.2525462778       20.4827166865
  1       15.9675211937       22.3996719427       20.6588313026
  1        0.8865001946       17.3604895761        7.1734641314
  2        1.0855071783       16.9549219790        6.8597586251
  1        1.2984992959       16.5565799379        6.5459784869
  1        8.2399216269       13.8016934987        5.2516622020
  2        7.7428753429       14.0215657489        5.3359307316
  1        7.2360586132       14.2182645828        5.4192756191
  1       11.9018766441       22.4207433187       22.6047047685
  2       12.0946752424       21.9894786127       22.8863773690
  1       12.2813198550       21.5527396431       23.1637270760
  1        8.7236110719        5.9639146893       27.5618850330
  2        8.7382716587        5.4149254988       27.5319528443
  1        8.7249440474        4.8668268298       27.4882467483
  1       23.0072514087       26.7813701412       10.9027896061
  2       23.3543713688       26.7654241644       11.3291151380
  1       23.6797225249       26.7504981891       11.7723124297
  1       24.5946419561       20.1689815840        5.1968066022
  2       24.7631718318       19.6627808851        5.3304424261
  1       24.9279244952       19.1585456152        5.4757123524
  1       23.8274942714        8.9810196720        6.1109551905
  2       24.3278514160        8.7735941132        6.2064400869
  1       24.8371764668        8.5901371717        6.3035562145
  1       14.6299626950       18.1744688315       21.0993767509
  2       14.9402027624       17.9527885961       21.4957464947
  1       15.2649726425       17.7423145640       21.8865472186
  1        7.5969395428        7.3053850573        8.2084214714
  2        7.3117404227        7.7539018893        8.0670209294
  1        7.0726451091        8.2252346668        7.9147749348
  1        8.4325273897       24.3982825979       22.1310754029
  2        8.3822309004       24.0834739713       22.5792559377
  1        8.3396835846       23.7931885323       23.0444699624
  1       20.7155384004       25.7292988086        5.0292452232
  2       21.1822853312       25.8162442882        5.3068920965
  1       21.6347073865       25.9093713096        5.6054580704
  1        5.7053529903       13.7998735876       23.8422244818
  2        5.8910254522       13.3733761626       23.5487527058
  1        6.0811757709       12.9456358815       23.2599948362
  1        9.0744391927       19.0921158216       27.5992089261
  2        9.1060789315       19.4799107618       27.9879427827
  1        9.1442347936       19.8653171335       28.3784630226
  1       11.8187116893       17.1894372530       24.7155058443
  2       11.5568061711       17.6093997028       24.9553746425
  1       11.2974279821       18.0311710193       25.1948154716
  1       15.3968416014        1.1005121200       25.6200175844
  2       15.2998604496        1.0096176173       25.0863202492
  1       15.2316836756        0.8976730829       24.5521663877
  1       13.7304256020       18.4467156328        2.8881840747
  2       13.3417025584       18.1486778807        3.1383198253
  1       12.9552671499       17.8470177884        3.3876566712
  1       16.1287925353        5.7568023983       22.2341299168
  2       16.4562426497        6.1942206606       22.1713470659
  1       16.7892741473        6.6270795299       22.1063607607
  1        4.7489615556        0.7166545211       21.5731763374
  2        4.9376485193        0.2265296155       21.7365005750
  1        5.1153617756       -0.2736380338       21.8805502892
  1       14.7838146102       24.4211471472       18.1313123859
  2       14.5568685758       24.8536472416       18.3841743361
  1       14.3347926275       25.2853859301       18.6426002966
  1       22.5235818075       12.0734778442       15.6575694540
  2       22.0513507071       12.3439993898       15.5780969359
  1       21.5772512328       12.6056697519       15.4818768285
  1       26.5249820067       13.6968127786        0.3471497000
  2       26.7475011104       14.1978349986        0.3028554163
  1       26.9769350769       14.6968106098        0.2731334815
  1       12.8170520817       20.7684558522       15.0379769059
