Simulation state at cycle:    1100000
##############################################################################                                           

Number-of-molecules: 401   

Box-size(s):    27.477011   50.820494

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.4765773344E+000
Box 2    0.2540980532E+002

Rotation per molecule type
Box 1    0.7666395692E+002
Box 2    0.1800000000E+003

Volume    Delta_Volume
Box 1   0.3067737379E+003
Box 2   0.1420248786E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 399   
Atomtype         X                  Y                   Z
  1       18.1862838078        6.3127090796       19.5970265792
  2       18.6658989285        6.0639340702       19.6998873136
  1       19.1409944129        5.8105840568       19.8121283507
  1       12.0695235426       15.4009447019        8.3016729450
  2       12.0964283273       15.1129342625        7.8338844037
  1       12.1444841676       14.8114153044        7.3764164232
  1        3.7562750964       27.3984869445       18.1532218700
  2        3.2611499906       27.4076217460       18.3925285457
  1        2.7750122359       27.4317965385       18.6486255230
  1       15.1535970249        6.7736390673       22.5498774629
  2       15.0287969228        7.2719520147       22.3533853742
  1       14.9139110775        7.7662901623       22.1414159486
  1       23.2127926717        7.5575754698       24.7434291502
  2       23.0142598110        8.0396081829       24.5681317839
  1       22.8152031574        8.5181924432       24.3841927899
  1        8.3817899526        6.1306194421        6.8623326926
  2        8.7298500505        6.3545180641        6.5000847453
  1        9.0634724288        6.5894767496        6.1313158152
  1       27.3134798700       16.2039651747       11.4530725824
  2       27.3151404284       15.7017938102       11.6773963736
  1       27.3497003673       15.2056759474       11.9122850191
  1        1.8317622278        9.5124961175       22.9567929088
  2        1.5886074327        9.9667700055       23.1491752893
  1        1.3261134588       10.4111157854       23.3393166591
  1        3.2407598884        6.8738271550       12.0824935038
  2        2.7159480919        6.9293671875       12.2373737255
  1        2.1890000662        6.9757770482       12.3879456419
  1        1.2637955922       13.1802231939       26.1364438287
  2        0.8241706950       12.9630468837       25.8873165518
  1        0.3737457536       12.7720527465       25.6360425766
  1       27.6398524876       23.1982305443        7.0478818636
  2       27.1045360230       23.3155826138        7.0013547261
  1       26.5634218525       23.4012762012        6.9528566577
  1        2.6812845658       18.3164038963       13.5840122310
  2        2.4554874737       18.4348576374       13.0966885352
  1        2.1993550086       18.5426081375       12.6220455230
  1       25.8661428690       19.2497597755       20.5291848349
  2       25.6416645672       19.0198058315       20.9755374709
  1       25.4214930672       18.7792895793       21.4184555694
  1       18.6153387265       15.9542351687       11.2787018208
  2       18.0747329119       16.0114998372       11.1952385896
  1       17.5321825070       16.0824623281       11.1395305834
  1       16.2057185816       16.7865186872       17.0092922622
  2       16.7553764271       16.7997191979       17.0235049112
  1       17.3043517338       16.8214331424       17.0490903812
  1        3.3001078546        4.4206220873       24.1509145632
  2        3.1524343296        4.0588937113       24.5380128867
  1        3.0049036678        3.7151963629       24.9412582655
  1        7.4402414292       20.4062133550       11.2945720927
  2        7.2746642643       20.9191004931       11.1848862411
  1        7.1264756791       21.4303888119       11.0465952536
  1       22.8119203342       19.2736824327       14.9429001882
  2       23.0828538036       19.7386677683       14.8293938325
  1       23.3677218437       20.1976206761       14.7258929767
  1       15.3652317989        3.1488220049       19.7305036403
  2       15.0052206233        3.5627949561       19.6915376413
  1       14.6483659619        3.9812782564       19.6863920586
  1       26.4607089844       14.8642808777       19.0623219178
  2       26.8954894725       14.6683875741       18.7882931954
  1       27.3177185435       14.4528512392       18.5094263832
  1       16.3917853456        5.1752098828       26.2643599374
  2       16.2226671009        4.8651710161       25.8427263045
  1       16.0482956297        4.5567174087       25.4220709098
  1       12.3396022300        2.8099136790        4.3198835993
  2       12.5494777548        3.1051956549        3.9060468938
  1       12.7727622963        3.3884409236        3.4908166803
  1       11.4653165939       16.1862318172       20.0904061946
  2       11.7034312164       16.3462507018       19.6211563857
  1       11.9608036850       16.5045112272       19.1615772114
  1        6.7846095875       26.7830752055        0.4399317346
  2        6.5652963983       26.3993637515        0.1125676480
  1        6.3446629288       26.0130061185       -0.2107721896
  1        3.0074261512       13.0759606178        2.4933875824
  2        3.3936157708       12.8604335420        2.1664232766
  1        3.7754064404       12.6126560208        1.8576479804
  1       24.4190816375       23.6686324756       10.4476753684
  2       24.9041964523       23.4687329788       10.2827396000
  1       25.3911986162       23.2775358576       10.1131148607
  1       17.1904994006       13.2424666209       18.7174873441
  2       17.5165057792       13.6686335534       18.8383243696
  1       17.8590908317       14.0820289092       18.9576548379
  1       21.8548789486        4.8674183197        3.4947036023
  2       21.6826911078        5.0245731182        2.9965533069
  1       21.5194978253        5.1747147576        2.4932388529
  1       25.9543255931        7.5771227452       22.5047652373
  2       25.5257445230        7.4771890011       22.1748690217
  1       25.0977422633        7.3825982325       21.8426542549
  1       18.8751475976       25.9215343815        3.7934664812
  2       18.5134836300       25.5514487390        3.9798418868
  1       18.1660730631       25.1793020838        4.1879590749
  1       25.4944051889       24.8168281077       23.6784462879
  2       25.1251213362       25.1408638633       23.4312009337
  1       24.7662253557       25.4814017353       23.1909351810
  1        5.5550015720        8.0042051621        7.5017947891
  2        5.4265192137        8.0599369975        8.0336653055
  1        5.2914646745        8.1378836316        8.5610973794
  1       -0.0623875514        2.9127020716       18.9523356449
  2       -0.0036555636        3.4368263908       18.7963091994
  1        0.0811340414        3.9552391578       18.6333401078
  1        3.6083358889       25.0095903402       21.2047554794
  2        3.8911000388       25.4213231793       21.4350172972
  1        4.1734342458       25.8413979203       21.6502488158
  1        7.9105003004        6.4299324637       25.2437200038
  2        8.3762697755        6.6746857895       25.4038905555
  1        8.8522639743        6.9099832980       25.5472941962
  1       26.8837087213        5.3732110790       14.3401334014
  2       26.9697679063        4.9808949183       14.7158751302
  1       27.0455785027        4.5873982518       15.0925887162
  1       20.6769492277       23.9721175744       13.6585352877
  2       20.8721331783       23.4891244250       13.4821242817
  1       21.0905785123       23.0095323450       13.3247296442
  1       11.3692594693       22.1180102773       23.3824115756
  2       11.6335001467       22.0409924752       23.8585891923
  1       11.9065387583       21.9421958894       24.3256964071
  1       12.1936813897        5.9311197313        8.6083572798
  2       12.2370259495        6.4409816038        8.8100057862
  1       12.2968077009        6.9481861376        9.0141373665
  1        2.3462440213        3.5306470291        4.3028918366
  2        2.4929402677        4.0593853952        4.2652627060
  1        2.6591957389        4.5826163241        4.2322700967
  1       13.0012727921       10.9723245118       22.7034840299
  2       12.6425016725       10.6507693583       22.9687868135
  1       12.2780631137       10.3256978458       23.2217948126
  1        4.5119779827       15.3426735984       18.3159692521
  2        3.9741643348       15.2322070585       18.2835096819
  1        3.4356854750       15.1256653652       18.2490222330
  1       19.6718889549       18.9951785582        5.4944052019
  2       20.1470803654       18.7576073001        5.3520920938
  1       20.6190019201       18.5050955407        5.2254909225
  1       17.1149800739       24.1474620663       14.3481761077
  2       16.6855349814       23.8233125845       14.2341409116
  1       16.2489799512       23.5135613918       14.1077530037
  1        2.5753563507       15.9587006113       25.0896832892
  2        2.8287016322       15.8793432074       24.6080002287
  1        3.0725138580       15.8064228416       24.1204161665
  1       12.5618081407        3.4380126401       23.3552024526
  2       12.7547617754        3.8171029092       23.0065486662
  1       12.9278620007        4.2005940119       22.6523299694
  1        0.7409446164       27.6449850651       21.3861147407
  2        0.4800147059       27.1609692549       21.3981262865
  1        0.2175671587       26.6777520177       21.4091890936
  1        2.3143444803       16.0159117210        5.2140897937
  2        2.8137195750       15.9146229253        5.0070509215
  1        3.3092027691       15.8252998330        4.7856513086
  1       25.7067858722       12.3123216628       14.4314651832
  2       25.4108613239       12.2323689920       14.8881228583
  1       25.1204282183       12.1392080300       15.3458013976
  1        6.1083458295        8.5753915842       12.6189750375
  2        6.3014364028        8.0873965665       12.7835256169
  1        6.5050066175        7.6004406702       12.9382289517
  1       13.5572772579       25.2497448523       15.2938009361
  2       13.2996800103       25.5903857602       15.6403661246
  1       13.0370237245       25.9331381075       15.9810015645
  1        0.4993455191        6.4355531541       25.8079537134
  2        0.1969165416        6.2925639554       25.3713866480
  1       -0.1181146654        6.1451018367       24.9453464372
  1       24.1800741623       17.2676525414        4.4632415507
  2       23.9640192474       17.0031781090        4.8943720975
  1       23.7615398026       16.7491196085        5.3381697448
  1       12.6554093423        5.7862714706       26.3065983539
  2       12.6841219885        6.0352220156       25.8170074940
  1       12.7257704554        6.2693526435       25.3210757918
  1       20.0004935635       11.7853175412        4.3917700424
  2       19.7440754218       11.8984157326        3.9185274665
  1       19.4995477026       12.0028876207        3.4370798389
  1       12.4938434368       16.3722994903        3.4973216437
  2       12.3873884986       15.8644630561        3.3149223503
  1       12.2912271221       15.3500293028        3.1457747753
  1       21.5321200189        7.9920760224       20.5864588307
  2       21.5819348921        8.3665704510       20.9861742311
  1       21.6539089165        8.7433824283       21.3802966392
  1        1.1578792047       15.8866312291       21.2053798299
  2        1.6344076392       16.0943760892       21.0257615563
  1        2.1129714818       16.3032775306       20.8530281335
  1       25.0852068834       26.7135198899        8.1473848966
  2       25.5829250419       26.6037914548        8.3541125079
